epoch,train_loss,val_loss,train_ppl,val_ppl
1,4.9939896976738645,4.568641424179077,147.52382640355464,96.41303633641598
2,3.7928203909020675,3.769309937953949,44.381396811367445,43.3501402256595
3,3.104173549434595,3.417948365211487,22.290789125368903,30.506762038224714
4,2.689380355048598,3.2074427008628845,14.722550339434866,24.71579964461524
5,2.445820607637104,3.0998687148094177,11.54001553927998,22.19503721046848
6,2.2233726821447672,3.053395986557007,9.238436691840795,21.187173745020598
7,2.0572910256553114,3.0351080298423767,7.824744042403973,20.80322514722218
8,1.9143770828581692,3.090638041496277,6.7827124129623,21.991104737831144
9,1.8030252184784203,3.0726430416107178,6.06797668067308,21.5989141287802
10,1.7366123586370235,3.062544524669647,5.678075521230931,21.381894759730038
